Symbol	AK1	AK2	AK3	AK4	AK5	AK6	AK7	AK8	AK9	AK10	AK11	AK12	AK13	AK14	AK15	AK16	AK17	AK18	AK19	AK20
A1BG	16	14	21	24	24	9	15	26	12	36	26	35	26	57	28	24	31	28	51	84
A1BG-AS1	11	7	3	10	24	16	16	13	21	14	19	6	12	11	14	12	3	3	13	9
A1CF	0	4	0	6	6	6	2	0	0	0	0	2	3	2	4	6	8	4	2	6
A2M	0	1	2	5	15	1	4	7	2	6	4	17	4	2	2	9	8	1	1	5
A2M-AS1	19	27	43	25	16	18	30	30	16	15	62	266	85	98	81	67	201	111	44	44
A2ML1	0	0	0	0	0	1	0	0	0	0	0	0	0	6	1	1	0	0	0	0
A2MP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A3GALT2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
A4GALT	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
A4GNT	0	1	0	0	2	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0
AA06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
AACS	0	0	2	0	0	0	0	2	4	2	0	4	4	0	0	2	2	0	2	4
AACSP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAC	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAT	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
AAED1	0	0	0	0	2	0	2	0	2	0	0	0	0	2	0	0	0	1	0	0
AAGAB	4	0	9	1	0	1	2	4	0	4	6	2	2	6	0	5	2	1	8	4
AAK1	0	4	0	4	0	3	0	11	4	3	2	1	6	2	2	3	0	2	0	2
AAMDC	0	0	0	0	2	2	1	0	0	0	0	0	0	2	1	0	4	2	3	6
AAMP	0	0	0	0	0	0	2	0	4	0	4	2	0	2	0	0	0	4	0	2
AANAT	1	0	0	2	0	4	0	3	3	0	47	5	57	15	18	27	9	92	14	43
AAR2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AARD	0	0	0	6	2	0	4	0	0	7	1	0	0	2	0	0	4	0	0	0
AARS	4	4	13	4	11	8	14	25	2	26	6	16	17	2	12	18	10	14	1	9
AARS2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
AARSD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AASDH	1	0	0	2	3	0	1	6	1	3	0	3	0	4	1	0	3	6	1	3
AASDHPPT	1	0	10	0	10	2	0	0	0	0	4	4	0	0	2	0	0	0	0	0
AASS	0	0	0	2	0	0	2	0	2	0	0	0	0	0	2	0	0	0	2	4
AATF	1	8	2	1	12	4	12	4	6	2	4	0	4	0	9	7	6	2	0	2
AATK	0	0	1	2	5	1	2	9	0	2	0	4	6	7	4	0	0	2	0	2
AATK-AS1	0	0	9	1	10	1	2	3	9	4	2	6	3	0	5	5	0	7	7	10
ABAT	4	14	4	0	8	3	7	7	4	17	3	3	1	4	12	2	4	2	9	4
ABCA1	4	7	2	9	9	3	9	3	2	12	3	5	3	2	5	5	3	4	2	7
ABCA10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA11P	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ABCA12	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0
ABCA13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA17P	0	0	0	1	0	0	0	1	0	0	0	4	1	0	0	0	0	0	0	1
ABCA2	0	0	0	0	2	0	0	0	0	0	2	0	1	0	0	0	0	0	0	2
ABCA3	0	2	0	3	12	0	4	5	4	6	0	0	4	2	2	4	3	0	2	6
ABCA4	0	0	0	0	2	0	0	4	0	0	0	1	0	0	0	0	2	0	0	0
ABCA5	6	4	0	2	2	4	10	6	2	10	0	4	4	0	12	6	4	2	8	8
ABCA6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA7	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCA8	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	3	0	2
ABCA9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB1	2	2	2	2	0	0	0	6	1	0	0	0	0	0	2	2	0	0	0	2
ABCB10	0	0	2	0	0	0	0	0	2	0	0	0	0	2	0	2	0	0	0	0
ABCB11	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1
ABCB4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	0	0	2
ABCB5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB6	0	0	0	0	0	0	0	8	0	6	4	0	4	0	2	0	0	0	0	0
ABCB7	6	0	2	2	0	0	0	0	2	2	0	0	2	0	2	0	0	2	0	2
ABCB8	8	1	2	0	0	2	0	6	0	1	5	0	0	0	0	0	0	1	2	3
ABCB9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC1	2	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3
ABCC10	1	3	4	2	2	2	5	1	0	3	1	5	6	3	2	2	1	2	3	0
ABCC11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC13	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ABCC2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC3	4	1	0	9	0	8	0	3	4	0	0	0	0	1	0	9	0	0	8	0
ABCC4	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	2	0	0	1	2
ABCC5	0	0	0	1	2	0	2	0	0	0	2	0	0	0	0	0	0	0	4	0
ABCC5-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC6	0	1	0	0	0	1	0	3	1	2	1	0	0	0	1	0	0	2	0	0
ABCC6P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC6P2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC8	3	7	8	0	4	5	10	3	3	3	10	3	0	1	1	2	2	10	4	6
ABCC9	6	3	0	4	22	0	10	3	0	9	1	6	4	1	11	0	6	6	2	4
ABCD1	4	0	0	0	0	0	0	2	5	1	0	1	2	2	0	2	1	2	0	0
ABCD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD3	6	4	0	6	8	5	6	4	12	6	4	0	8	2	0	2	8	0	2	4
ABCD4	0	4	0	2	0	0	2	0	0	0	0	0	0	0	0	0	4	0	0	0
ABCE1	42	34	39	14	37	35	35	33	24	47	26	35	20	41	36	28	31	32	31	49
ABCF1	8	8	1	10	5	5	4	21	8	14	8	4	8	8	3	9	1	2	9	13
ABCF2	6	0	0	0	4	0	6	3	4	2	6	0	2	0	0	0	0	2	0	2
ABCF3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2
ABCG1	0	0	0	0	3	0	1	0	0	7	1	4	2	0	3	0	3	0	0	8
ABCG2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCG4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCG5	0	1	0	1	1	0	0	1	2	6	1	0	4	0	1	0	0	0	1	4
ABCG8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD1	22	16	13	16	46	25	26	27	15	22	34	19	18	50	35	20	26	27	26	22
ABHD10	0	8	0	0	12	0	5	4	0	0	0	2	0	0	0	4	0	0	4	1
ABHD11	0	0	2	2	4	4	3	2	7	0	6	2	4	0	2	0	0	0	5	2
ABHD12	7	4	8	15	6	8	17	6	6	19	7	4	4	10	14	11	6	17	2	2
ABHD12B	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD13	0	4	4	4	0	0	0	0	0	2	0	0	2	0	0	0	2	2	2	0
ABHD14A	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ABHD14A-ACY1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD14B	4	0	2	0	0	0	0	0	0	4	0	0	0	0	1	5	0	0	0	2
ABHD15	6	12	13	9	15	7	11	8	12	12	6	13	7	9	5	3	2	6	6	4
ABHD16A	3	4	2	0	0	2	6	10	6	6	0	7	10	4	4	2	6	2	8	8
ABHD16B	36	37	67	95	113	50	62	76	54	135	64	68	102	83	151	57	31	68	70	90
ABHD17A	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
ABHD17B	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ABHD17C	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD2	2	10	1	6	4	2	2	10	4	4	8	4	3	10	4	6	5	2	2	6
ABHD3	0	4	2	2	2	2	0	0	0	8	0	0	0	0	0	0	0	0	0	0
ABHD4	5	0	0	0	0	0	2	2	6	4	0	0	0	2	0	0	2	0	0	0
ABHD5	0	0	0	0	0	0	2	4	0	1	2	0	0	2	2	4	0	0	2	0
ABHD6	0	0	1	0	2	0	0	0	0	2	0	0	0	0	3	0	2	0	0	0
ABHD8	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABI1	16	8	6	9	13	3	7	9	4	2	21	6	0	2	10	16	22	16	10	10
ABI2	22	26	29	33	50	16	8	45	10	45	36	17	26	15	45	17	8	26	13	28
ABI3	0	0	1	0	0	0	0	1	0	0	0	0	3	3	1	1	0	0	0	4
ABI3BP	2	2	5	0	9	7	7	6	12	7	10	18	7	4	8	2	4	3	5	2
ABL1	3	0	2	6	0	2	4	1	0	0	4	0	3	0	6	0	0	2	2	3
ABL2	4	0	0	10	6	0	2	5	2	2	4	4	4	4	0	0	0	12	2	1
ABLIM1	6	16	2	6	6	13	16	10	12	12	10	4	6	2	4	16	6	3	6	14
ABLIM2	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	4	2
ABLIM3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABO	0	0	2	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0
ABR	6	6	23	12	16	9	17	12	10	9	8	16	17	15	7	17	12	19	2	10
ABRA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
ABRACL	0	3	0	4	0	0	2	1	5	1	2	2	0	0	0	1	0	10	2	2
ABT1	1	0	0	0	0	0	1	0	2	0	4	0	0	0	4	0	0	0	2	0
ABTB1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABTB2	0	0	2	16	7	7	0	4	2	10	9	1	7	3	4	2	0	7	3	8
AC093375.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACAA1	0	2	0	0	2	5	2	0	0	0	0	0	0	0	0	6	0	0	0	0
ACAA2	0	0	2	0	0	4	6	2	0	2	6	4	0	2	2	0	2	6	4	0
ACACA	0	2	2	2	4	2	2	4	0	0	0	4	3	0	4	7	0	0	4	0
ACACB	0	0	0	2	1	2	4	0	5	0	0	0	2	0	0	0	1	2	1	0
ACAD10	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	1	0	1
ACAD11	13	9	9	21	19	6	23	19	23	34	20	12	13	24	28	3	18	6	3	18
